date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:34	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22207aa-5e70b50244433%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.eot	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.eot	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:35	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22207aa-5e70b50244433%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.eot?	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400d41d.eot	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:36	76548/76548	---M--	200	added ('OK')	font/woff2	etag:%2212b04-5e70b50246373%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.woff2	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.woff2	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:37	89824/89824	---M--	200	added ('OK')	font/woff	etag:%2215ee0-5e70b50246373%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.woff	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.woff	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:38	132728/132728	---MCZ	200	added ('OK')	font/ttf	etag:W/%2220678-5e70b50246373%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.ttf	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.ttf	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:40	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%228656-5e70b50246373%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.eot	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.eot	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:40	715890/715890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22aec72-5e70b50246373%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.svg	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-brands-400.svg	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:41	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%228656-5e70b50246373%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.eot?	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400d41d.eot	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:42	13600/13600	---M--	200	added ('OK')	font/woff2	etag:%223520-5e70b50247313%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.woff2	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.woff2	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:42	16800/16800	---M--	200	added ('OK')	font/woff	etag:%2241a0-5e70b50247313%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.woff	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.woff	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
